,,,,Total,Hombre,Mujer,No especificado
,Total,Total,Total,"33,287","28,745","3,928",614
,Total,Total,Enero,"2,689","2,306",329,54
,Total,Total,Febrero,"2,403","2,057",301,45
,Total,Total,Marzo,"2,811","2,456",315,40
,Total,Total,Abril,"2,674","2,275",334,65
,Total,Total,Mayo,"3,015","2,636",324,55
,Total,Total,Junio,"2,845","2,407",374,64
,Total,Total,Julio,"2,838","2,469",318,51
,Total,Total,Agosto,"2,712","2,329",339,44
,Total,Total,Septiembre,"2,765","2,417",333,15
,Total,Total,Octubre,"2,924","2,536",318,70
,Total,Total,Noviembre,"2,583","2,236",298,49
,Total,Total,Diciembre,"2,744","2,398",310,36
,Total,Total,No especificado,284,223,35,26
,Total,1967,Total,1,,,1
,Total,1967,Mayo,1,,,1
,Total,1986,Total,1,1,,
,Total,1986,Junio,1,1,,
,Total,1995,Total,1,1,,
,Total,1995,Diciembre,1,1,,
,Total,1997,Total,1,1,,
,Total,1997,Diciembre,1,1,,
,Total,1999,Total,2,2,,
,Total,1999,Julio,1,1,,
,Total,1999,Septiembre,1,1,,
,Total,2005,Total,1,1,,
,Total,2005,Septiembre,1,1,,
,Total,2006,Total,2,2,,
,Total,2006,Marzo,1,1,,
,Total,2006,Abril,1,1,,
,Total,2009,Total,2,2,,
,Total,2009,Marzo,1,1,,
,Total,2009,Julio,1,1,,
,Total,2010,Total,4,3,1,
,Total,2010,Enero,1,1,,
,Total,2010,Octubre,3,2,1,
,Total,2012,Total,5,4,1,
,Total,2012,Marzo,1,,1,
,Total,2012,Abril,2,2,,
,Total,2012,Julio,1,1,,
,Total,2012,Diciembre,1,1,,
,Total,2014,Total,2,2,,
,Total,2014,Febrero,1,1,,
,Total,2014,Octubre,1,1,,
,Total,2015,Total,1,,1,
,Total,2015,Octubre,1,,1,
,Total,2016,Total,14,12,1,1
,Total,2016,Marzo,1,,1,
,Total,2016,Abril,1,1,,
,Total,2016,Junio,3,3,,
,Total,2016,Julio,2,2,,
,Total,2016,Agosto,1,1,,
,Total,2016,Octubre,4,3,,1
,Total,2016,Diciembre,2,2,,
,Total,2017,Total,25,22,3,
,Total,2017,Enero,2,,2,
,Total,2017,Febrero,1,,1,
,Total,2017,Marzo,1,1,,
,Total,2017,Junio,4,4,,
,Total,2017,Julio,5,5,,
,Total,2017,Agosto,4,4,,
,Total,2017,Septiembre,3,3,,
,Total,2017,Octubre,2,2,,
,Total,2017,Noviembre,3,3,,
,Total,2018,Total,23,17,4,2
,Total,2018,Enero,1,1,,
,Total,2018,Febrero,1,1,,
,Total,2018,Marzo,3,3,,
,Total,2018,Mayo,4,4,,
,Total,2018,Junio,2,1,1,
,Total,2018,Julio,2,1,,1
,Total,2018,Agosto,1,,1,
,Total,2018,Septiembre,5,3,2,
,Total,2018,Octubre,2,2,,
,Total,2018,Noviembre,2,1,,1
,Total,2019,Total,93,67,15,11
,Total,2019,Enero,6,6,,
,Total,2019,Febrero,9,6,1,2
,Total,2019,Marzo,6,4,2,
,Total,2019,Abril,6,4,2,
,Total,2019,Mayo,6,5,1,
,Total,2019,Junio,4,3,,1
,Total,2019,Julio,8,6,2,
,Total,2019,Agosto,8,2,2,4
,Total,2019,Septiembre,12,12,,
,Total,2019,Octubre,7,5,2,
,Total,2019,Noviembre,12,8,2,2
,Total,2019,Diciembre,9,6,1,2
,Total,2020,Total,257,200,36,21
,Total,2020,Enero,30,24,4,2
,Total,2020,Febrero,13,11,2,
